SL. NO.,ASSETS TAG NO.,PART NO,No of Parts,Part Description,Part wt,runner wt,Ton,cycle time,Cummulative 2018,Jan-19,Cum Jan,Feb-19,Cum Feb,Mar-19,Cum Mar,Apr-19,Cum Apr,May-19,Cum May,Jun-19,Cum Jun,Jul-19,Cum Jul,Aug-19,Cum Aug,Sep-19,Cum Sep,Oct-19,Cum Oct,Nov-19,Cum Nov,Dec-19,Cum Dec,Cummulative 2019,Total Shots till Dec 2019
79,72000613-0001,42000171,96,Preethi Logo - Foiled (W),0.75,1,100,49,24039,0,0,0,0,,0,,0,,0,,0,4925,4925,,4925,,4925,,4925,,4925,,4925,4925,28964
,,42000109,97,Preethi Logo - Foiled (B),,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
80,72001542-0001,42000125,98,Preett Logo,0.75,1,80,50,3600,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,3600
81,72000705-0003,41000935,99,Ring Gear C & S,7,4.5,80,48,59152,5573,5573,6657,12230,6050,18280,6200,24480,6100,30580,9385,39965,1230,41195,8502,49697,5298,54995,,54995,,54995,,54995,54995,114147
82,72001461-0001,41002611,100,Dome 0.5 Ltr San with Lid,94,4.6,130,60,188472,272,272,4397,4669,2510,7179,1750,8929,3200,12129,588,12717,,12717,1865,14582,500,15082,,15082,,15082,,15082,15082,203554
83,72001463-0001,41002609,101,Dome 1.5 Ltr with San,127,6,160,65,16576,0,0,0,0,1605,1605,1100,2705,1000,3705,,3705,,3705,2080,5785,440,6225,,6225,,6225,,6225,6225,22801
84,72000984-0001,41002221,102,S.E Jar - CB with Insert (Lavender),260,8,260,85,"43,952",2394,2394,0,2394,1422,3816,600,4416,680,5096,1850,6946,1219,8165,1045,9210,1740,10950,,10950,,10950,,10950,10950,54902
,,41002677,103,S.E Jar - CB with Insert (Steele),,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
,,41002681,104,S.E Jar - Leaf with Insert (CB),,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
,,41002254,105,S.E Jar - ECOPLUS with Insert (SAN),,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
85,72000982-0001,41001954,106,S.E Lid - Leaf (CB),51,3.5,160,55,"68,239",4171,4171,0,4171,560,4731,750,5481,5400,10881,760,11641,5365,17006,5290,22296,,22296,,22296,,22296,,22296,22296,90535
,,41001944,107,S.E Lid - Black (CB),,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
,,41001948,108,S.E Lid - Lavender (CB),,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
,,41002179,109,S.E Lid - White (CB),,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
86,72000143-0001,41001328,110,Bush Holder Plastic S.E - Black,16,1.5,80,42,165095,,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,165095
87,72000143-0002,41001328,111,Bush Holder Plastic S.E - Black,16,1.5,80,42,0,6936,6936,12513,19449,12345,31794,11900,43694,12400,56094,15773,71867,9315,81182,16135,97317,15235,112552,,112552,,112552,,112552,112552,112552
88,72001719-0001,41003551,112,S E Bush Holder,34,3,130,58,0,0,0,591,591,625,1216,1100,2316,1700,4016,,4016,,4016,,4016,,4016,,4016,,4016,,4016,4016,4016
89,72000351-0001,41001324,113,Dome S.E - Steele,56.5,2,150,58,33559,3579,3579,1726,5305,1264,6569,4600,11169,2200,13369,1980,15349,3985,19334,2595,21929,2215,24144,,24144,,24144,,24144,24144,57703
90,72001716-0001,41003547,114,Filter S E Cosmo,128,5,200,95,3648,0,0,0,0,1118,1118,2200,3318,2701,6019,715,6734,3965,10699,,10699,1280,11979,,11979,,11979,,11979,11979,15627
91,72000158-0001,41001329,115,Housing Nut S.E,3.75,1.5,80,40,74536,8082,8082,5146,13228,6125,19353,7600,26953,7830,34783,11959,46742,2785,49527,7513,57040,8740,65780,,65780,,65780,,65780,65780,140316
92,72001147-0001,41002221,116,Insert for S.E Jar - CB with Insert (Lavender),20,3,,,23594,1551,1551,960,2511,1265,3776,500,4276,685,4961,880,5841,,5841,1125,6966,2430,9396,,9396,,9396,,9396,9396,32990
,,41002677,117,Insert for S.E Jar - CB with Insert (Steele),,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
